,authors,title,venue,type,year,access,key,ee
67,"Cheng-Ho King,Yin-Lin Wang,Wei-Yang Lin,Chia-Ling Tsai",Automatic Cephalometric Landmark Detection on X-Ray Images Using Object Detection.,ISBI,Conference and Workshop Papers,2022,closed,conf/isbi/KingWLT22,https://doi.org/10.1109/ISBI52829.2022.9761506
68,"Qiubo Huang,Zixuan Liu,Ting Lu 0001",Joint model for learning state recognition with combining action detection and object detection.,IST,Conference and Workshop Papers,2022,closed,conf/ist/HuangL022,https://doi.org/10.1109/IST55454.2022.9827718
69,"Chengjie Huang,Van Duong Nguyen,Vahdat Abdelzad,Christopher Gus Mannes,Luke Rowe,Benjamin Thérien,Rick Salay,Krzysztof Czarnecki",Out-of-Distribution Detection for LiDAR-based 3D Object Detection.,ITSC,Conference and Workshop Papers,2022,closed,conf/itsc/HuangNAMRTSC22,https://doi.org/10.1109/ITSC55140.2022.9922026
70,"Michael Ulrich,Sascha Braun,Daniel Köhler,Daniel Niederlöhner,Florian Faion,Claudius Gläser,Holger Blume",Improved Orientation Estimation and Detection with Hybrid Object Detection Networks for Automotive Radar.,ITSC,Conference and Workshop Papers,2022,closed,conf/itsc/UlrichBKNFGB22,https://doi.org/10.1109/ITSC55140.2022.9922457
71,"Wan Teng Lim,Kelvin Ang,Yuen Peng Loh",Deep Enhancement-Object Features Fusion for Low-Light Object Detection.,MMAsia,Conference and Workshop Papers,2022,closed,conf/mmasia/LimAL22,https://doi.org/10.1145/3551626.3564947
72,"Santiago Montiel-Marín,Carlos Gómez Huélamo,Javier de la Peña,Miguel Antunes,Elena López Guillén,Luis Miguel Bergasa",Towards LiDAR and RADAR Fusion for Object Detection and Multi-object Tracking in CARLA Simulator.,ROBOT,Conference and Workshop Papers,2022,closed,conf/robot/Montiel-MarinHP22,https://doi.org/10.1007/978-3-031-21062-4_45
73,"Beomyoung Kim,Janghyeon Lee,Sihaeng Lee,Doyeon Kim,Junmo Kim",TricubeNet: 2D Kernel-Based Object Representation for Weakly-Occluded Oriented Object Detection.,WACV,Conference and Workshop Papers,2022,closed,conf/wacv/KimLLKK22,https://doi.org/10.1109/WACV51458.2022.00348
74,"Ryota Nakamura,Shuichi Enokida",Robust 3D Object Detection for Moving Objects Based on PointPillars.,WACV,Conference and Workshop Papers,2022,closed,conf/wacv/NakamuraE22,https://doi.org/10.1109/WACVW54805.2022.00067
75,"Su Pang,Daniel D. Morris,Hayder Radha",Fast-CLOCs: Fast Camera-LiDAR Object Candidates Fusion for 3D Object Detection.,WACV,Conference and Workshop Papers,2022,closed,conf/wacv/PangMR22,https://doi.org/10.1109/WACV51458.2022.00380
76,"Chongkeun Paik,Hyunwoo J. Kim","Improving Object Detection, Multi-object Tracking, and Re-Identification for Disaster Response Drones.",CoRR,Informal Publications,2022,open,journals/corr/abs-2201-01494,https://arxiv.org/abs/2201.01494
77,"Chong Xiang 0001,Alexander Valtchanov,Saeed Mahloujifar,Prateek Mittal",ObjectSeeker: Certifiably Robust Object Detection against Patch Hiding Attacks via Patch-agnostic Masking.,CoRR,Informal Publications,2022,open,journals/corr/abs-2202-01811,https://arxiv.org/abs/2202.01811
78,"Xinpeng Liu,Yong-Lu Li,Cewu Lu",Highlighting Object Category Immunity for the Generalization of Human-Object Interaction Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2202-09492,https://arxiv.org/abs/2202.09492
79,"Yueling Shen,Guangming Wang 0001,Hesheng Wang 0001",DetFlowTrack: 3D Multi-object Tracking based on Simultaneous Optimization of Object Detection and Scene Flow Estimation.,CoRR,Informal Publications,2022,open,journals/corr/abs-2203-02157,https://doi.org/10.48550/arXiv.2203.02157
80,"Yukun Su,Jingliang Deng,Ruizhou Sun,Guosheng Lin,Qingyao Wu","A Unified Transformer Framework for Group-based Segmentation: Co-Segmentation, Co-Saliency Detection and Video Salient Object Detection.",CoRR,Informal Publications,2022,open,journals/corr/abs-2203-04708,https://doi.org/10.48550/arXiv.2203.04708
81,"Michael Ulrich,Sascha Braun,Daniel Köhler,Daniel Niederlöhner,Florian Faion,Claudius Gläser,Holger Blume",Improved Orientation Estimation and Detection with Hybrid Object Detection Networks for Automotive Radar.,CoRR,Informal Publications,2022,open,journals/corr/abs-2205-02111,https://doi.org/10.48550/arXiv.2205.02111
82,"Lingchen Meng,Xiyang Dai,Yinpeng Chen,Pengchuan Zhang,Dongdong Chen 0001,Mengchen Liu,Jianfeng Wang,Zuxuan Wu,Lu Yuan,Yu-Gang Jiang",Detection Hub: Unifying Object Detection Datasets via Query Adaptation on Language Embedding.,CoRR,Informal Publications,2022,open,journals/corr/abs-2206-03484,https://doi.org/10.48550/arXiv.2206.03484
83,"Boyang Deng,Meiyan Lin,Shoulun Long",Object Occlusion of Adding New Categories in Objection Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2206-05730,https://doi.org/10.48550/arXiv.2206.05730
84,"Yunhao Ge,Jiashu Xu,Brian Nlong Zhao,Laurent Itti,Vibhav Vineet",DALL-E for Detection: Language-driven Context Image Synthesis for Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2206-09592,https://doi.org/10.48550/arXiv.2206.09592
85,"Guangzhi Wang,Yangyang Guo,Yongkang Wong,Mohan S. Kankanhalli",Chairs Can be Stood on: Overcoming Object Bias in Human-Object Interaction Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2207-02400,https://doi.org/10.48550/arXiv.2207.02400
86,"Tyler LaBonte,Yale Song,Xin Wang,Vibhav Vineet,Neel Joshi",Scaling Novel Object Detection with Weakly Supervised Detection Transformers.,CoRR,Informal Publications,2022,open,journals/corr/abs-2207-05205,https://doi.org/10.48550/arXiv.2207.05205
87,"Mohsen Zand,Ali Etemad,Michael A. Greenspan",ObjectBox: From Centers to Boxes for Anchor-Free Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2207-06985,https://doi.org/10.48550/arXiv.2207.06985
88,"Hao Yang,Chen Shi,Yihong Chen,Liwei Wang",Boosting 3D Object Detection via Object-Focused Image Fusion.,CoRR,Informal Publications,2022,open,journals/corr/abs-2207-10589,https://doi.org/10.48550/arXiv.2207.10589
89,"Fei He,Naiyu Gao,Jian Jia,Xin Zhao 0012,Kaiqi Huang",QueryProp: Object Query Propagation for High-Performance Video Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2207-10959,https://doi.org/10.48550/arXiv.2207.10959
90,"Jinhwan Seo,Wonho Bae,Danica J. Sutherland,Junhyug Noh,Daijin Kim 0001",Object Discovery via Contrastive Learning for Weakly Supervised Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2208-07576,https://doi.org/10.48550/arXiv.2208.07576
91,"Yu-Huan Wu,Da Zhang,Le Zhang,Xin Zhan,Dengxin Dai,Yun Liu 0011,Ming-Ming Cheng",Ret3D: Rethinking Object Relations for Efficient 3D Object Detection in Driving Scenes.,CoRR,Informal Publications,2022,open,journals/corr/abs-2208-08621,https://doi.org/10.48550/arXiv.2208.08621
92,"Yuheng Shi,Naiyan Wang,Xiaojie Guo 0001",YOLOV: Making Still Image Object Detectors Great at Video Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2208-09686,https://doi.org/10.48550/arXiv.2208.09686
93,"Martinus Grady Naftali,Jason Sebastian Sulistyawan,Kelvin Julian",Comparison of Object Detection Algorithms for Street-level Objects.,CoRR,Informal Publications,2022,open,journals/corr/abs-2208-11315,https://doi.org/10.48550/arXiv.2208.11315
94,"Han Wu,Syed Yunas,Sareh Rowlands,Wenjie Ruan,Johan Wahlström",Adversarial Detection: Attacking Object Detection in Real Time.,CoRR,Informal Publications,2022,open,journals/corr/abs-2209-01962,https://doi.org/10.48550/arXiv.2209.01962
95,"Siyuan Liang,Longkang Li,Yanbo Fan,Xiaojun Jia,Jingzhi Li,Baoyuan Wu,Xiaochun Cao",A Large-scale Multiple-objective Method for Black-box Attack against Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2209-07790,https://doi.org/10.48550/arXiv.2209.07790
96,"Yu Hao,Haoyang Pei,Yixuan Lyu,Zhongzheng Yuan,John-Ross Rizzo,Yao Wang 0001,Yi Fang 0006",Understanding the Impact of Image Quality and Distance of Objects to Object Detection Performance.,CoRR,Informal Publications,2022,open,journals/corr/abs-2209-08237,https://doi.org/10.48550/arXiv.2209.08237
97,"Chengjie Huang,Van Duong Nguyen,Vahdat Abdelzad,Christopher Gus Mannes,Luke Rowe,Benjamin Thérien,Rick Salay,Krzysztof Czarnecki",Out-of-Distribution Detection for LiDAR-based 3D Object Detection.,CoRR,Informal Publications,2022,open,journals/corr/abs-2209-14435,https://doi.org/10.48550/arXiv.2209.14435
